date_jour,cp1,Dp1,HEURE_POINTE_1H,cp2,Dp2,HEURE_POINTE_2H,cp3,Dp3,HEURE_POINTE_3H,LENGTH
2023-02-13,19.88,4.06,2023-02-13 16:30:00,22.38,3.49,2023-02-13 16:45:00,23.22,3.33,2023-02-13 16:30:00,97
2023-02-14,17.24,4.83,2023-02-14 18:15:00,18.71,4.37,2023-02-14 18:00:00,19.88,4.06,2023-02-14 16:30:00,97
2023-02-15,15.31,5.57,2023-02-15 18:00:00,17.07,4.89,2023-02-15 16:30:00,17.88,4.62,2023-02-15 16:30:00,97
2023-02-16,14.81,5.79,2023-02-16 15:30:00,16.86,4.96,2023-02-16 15:30:00,17.24,4.83,2023-02-16 15:30:00,97
2023-02-17,14.26,6.05,2023-02-17 17:00:00,16.34,5.16,2023-02-17 17:00:00,17.31,4.81,2023-02-17 16:00:00,97
2023-02-18,30.37,2.31,2023-02-18 14:45:00,34.94,1.87,2023-02-18 14:15:00,38.37,1.62,2023-02-18 13:15:00,97
2023-02-19,31.25,2.21,2023-02-19 15:15:00,34.54,1.91,2023-02-19 15:15:00,36.88,1.72,2023-02-19 15:00:00,97
2023-02-20,21.35,3.71,2023-02-20 17:15:00,23.89,3.21,2023-02-20 17:00:00,29.17,2.44,2023-02-20 16:15:00,97
2023-02-21,23.78,3.23,2023-02-21 17:45:00,24.14,3.16,2023-02-21 16:45:00,27.78,2.62,2023-02-21 16:30:00,97
2023-02-22,16.74,5.01,2023-02-22 16:15:00,18.35,4.48,2023-02-22 16:45:00,18.79,4.35,2023-02-22 15:45:00,97
2023-02-23,18.33,4.49,2023-02-23 16:30:00,20.89,3.81,2023-02-23 16:15:00,21.71,3.63,2023-02-23 16:30:00,97
2023-02-24,18.79,4.35,2023-02-24 14:15:00,20.91,3.81,2023-02-24 14:15:00,21.42,3.69,2023-02-24 14:15:00,97
2023-02-25,38.67,1.6,2023-02-25 17:30:00,47.9,1.09,2023-02-25 17:00:00,63.83,0.57,2023-02-25 16:45:00,97
2023-02-26,27.73,2.62,2023-02-26 18:45:00,36.6,1.74,2023-02-26 18:15:00,45.11,1.23,2023-02-26 17:15:00,97
