date_jour,cp1,Dp1,HEURE_POINTE_1H,cp2,Dp2,HEURE_POINTE_2H,cp3,Dp3,HEURE_POINTE_3H,LENGTH
2023-01-01,67.05,0.91,2023-01-01 11:15:00,72.42,0.71,2023-01-01 10:30:00,81.51,0.42,2023-01-01 09:30:00,13
2023-01-02,73.3,0.67,2023-01-02 13:15:00,82.91,0.38,2023-01-02 11:30:00,82.64,0.39,2023-01-02 11:30:00,13
2023-01-03,58.41,1.32,2023-01-03 18:00:00,82.52,0.39,2023-01-03 11:15:00,81.25,0.43,2023-01-03 11:45:00,13
2023-01-04,66.13,0.95,2023-01-04 17:30:00,76.93,0.56,2023-01-04 14:45:00,76.67,0.56,2023-01-04 13:45:00,13
2023-01-05,61.27,1.17,2023-01-05 08:00:00,69.71,0.8,2023-01-05 06:45:00,75.95,0.59,2023-01-05 05:45:00,13
2023-01-06,46.3,2.15,2023-01-06 14:30:00,55.05,1.51,2023-01-06 14:30:00,64.12,1.04,2023-01-06 13:30:00,13
2023-01-07,68.75,0.84,2023-01-07 13:45:00,72.03,0.72,2023-01-07 16:45:00,76.9,0.56,2023-01-07 15:15:00,13
2023-01-08,67.75,0.88,2023-01-08 13:00:00,80.52,0.45,2023-01-08 12:00:00,82.95,0.38,2023-01-08 11:15:00,13
2023-01-09,56.48,1.43,2023-01-09 08:30:00,66.94,0.91,2023-01-09 08:30:00,70.88,0.76,2023-01-09 07:15:00,13
2023-01-10,58.26,1.33,2023-01-10 07:30:00,66.44,0.94,2023-01-10 07:00:00,70.55,0.77,2023-01-10 07:15:00,13
2023-01-11,51.54,1.74,2023-01-11 08:30:00,61.07,1.18,2023-01-11 07:15:00,63.99,1.04,2023-01-11 06:45:00,13
2023-01-12,59.26,1.27,2023-01-12 07:45:00,64.89,1.0,2023-01-12 07:30:00,70.4,0.78,2023-01-12 07:45:00,13
2023-01-13,68.67,0.84,2023-01-13 22:00:00,74.31,0.64,2023-01-13 21:00:00,79.4,0.48,2023-01-13 20:15:00,13
2023-01-14,64.35,1.03,2023-01-14 15:45:00,70.22,0.79,2023-01-14 16:30:00,71.6,0.73,2023-01-14 15:45:00,13
2023-01-15,63.97,1.04,2023-01-15 17:15:00,71.22,0.75,2023-01-15 17:15:00,77.03,0.55,2023-01-15 16:30:00,13
2023-01-16,44.68,2.29,2023-01-16 07:45:00,51.7,1.73,2023-01-16 06:45:00,54.3,1.56,2023-01-16 07:15:00,13
2023-01-17,39.89,2.79,2023-01-17 07:00:00,53.24,1.63,2023-01-17 06:15:00,58.26,1.33,2023-01-17 06:30:00,13
2023-01-18,61.19,1.17,2023-01-18 10:00:00,63.46,1.07,2023-01-18 18:00:00,67.7,0.88,2023-01-18 17:00:00,13
2023-01-19,71.91,0.72,2023-01-19 10:30:00,81.06,0.43,2023-01-19 15:30:00,84.13,0.35,2023-01-19 16:00:00,13
2023-01-20,60.8,1.19,2023-01-20 14:15:00,69.52,0.81,2023-01-20 11:30:00,73.56,0.67,2023-01-20 10:45:00,13
2023-01-21,58.8,1.3,2023-01-21 17:45:00,72.84,0.69,2023-01-21 16:45:00,77.31,0.54,2023-01-21 17:30:00,13
2023-01-22,81.17,0.43,2023-01-22 11:00:00,88.16,0.25,2023-01-22 14:30:00,90.9,0.19,2023-01-22 14:30:00,13
2023-01-23,50.54,1.81,2023-01-23 07:45:00,61.11,1.18,2023-01-23 21:15:00,71.42,0.74,2023-01-23 21:00:00,13
2023-01-24,64.12,1.04,2023-01-24 07:30:00,71.99,0.72,2023-01-24 07:30:00,74.67,0.63,2023-01-24 13:30:00,13
2023-01-25,63.27,1.07,2023-01-25 14:45:00,71.95,0.72,2023-01-25 13:45:00,78.83,0.5,2023-01-25 12:45:00,13
2023-01-26,51.7,1.73,2023-01-26 09:00:00,58.06,1.34,2023-01-26 08:00:00,57.2,1.39,2023-01-26 07:00:00,13
2023-01-27,32.79,3.8,2023-01-27 13:45:00,51.89,1.72,2023-01-27 13:45:00,55.25,1.5,2023-01-27 13:45:00,13
2023-01-28,37.04,3.15,2023-01-28 18:00:00,56.52,1.42,2023-01-28 17:45:00,62.06,1.13,2023-01-28 17:45:00,13
2023-01-29,75.15,0.61,2023-01-29 12:45:00,80.13,0.46,2023-01-29 11:15:00,83.85,0.36,2023-01-29 10:15:00,13
2023-01-30,61.81,1.14,2023-01-30 08:15:00,62.46,1.11,2023-01-30 07:15:00,67.82,0.88,2023-01-30 06:15:00,13
2023-01-31,64.81,1.01,2023-01-31 16:15:00,76.0,0.58,2023-01-31 15:30:00,79.91,0.47,2023-01-31 15:30:00,13
2023-02-01,41.05,2.66,2023-02-01 07:45:00,65.12,0.99,2023-02-01 06:45:00,73.02,0.68,2023-02-01 07:30:00,13
2023-02-02,54.17,1.57,2023-02-02 17:45:00,64.04,1.04,2023-02-02 17:00:00,67.67,0.88,2023-02-02 16:45:00,13
2023-02-03,65.43,0.98,2023-02-03 17:00:00,68.67,0.84,2023-02-03 16:15:00,77.37,0.54,2023-02-03 15:15:00,13
2023-02-04,48.84,1.94,2023-02-04 17:00:00,64.39,1.02,2023-02-04 16:00:00,72.61,0.7,2023-02-04 16:30:00,13
2023-02-05,64.81,1.01,2023-02-05 18:45:00,75.62,0.6,2023-02-05 12:30:00,83.69,0.36,2023-02-05 12:15:00,13
2023-02-06,49.69,1.87,2023-02-06 08:00:00,59.84,1.24,2023-02-06 07:30:00,65.25,0.99,2023-02-06 07:00:00,13
2023-02-07,51.23,1.76,2023-02-07 17:30:00,54.75,1.53,2023-02-07 16:30:00,66.13,0.95,2023-02-07 16:00:00,13
2023-02-08,40.66,2.7,2023-02-08 08:15:00,48.42,1.97,2023-02-08 07:15:00,58.98,1.29,2023-02-08 06:30:00,13
2023-02-09,55.79,1.47,2023-02-09 07:30:00,63.73,1.05,2023-02-09 07:30:00,72.58,0.7,2023-02-09 06:45:00,13
2023-02-10,67.28,0.9,2023-02-10 13:00:00,69.17,0.83,2023-02-10 12:00:00,74.13,0.65,2023-02-10 12:00:00,13
2023-02-11,65.9,0.96,2023-02-11 08:15:00,78.55,0.51,2023-02-11 12:15:00,79.32,0.48,2023-02-11 13:00:00,13
2023-02-12,65.59,0.97,2023-02-12 08:30:00,77.85,0.53,2023-02-12 21:45:00,84.1,0.35,2023-02-12 21:00:00,13
2023-02-13,60.96,1.19,2023-02-13 07:45:00,64.39,1.02,2023-02-13 06:45:00,70.65,0.77,2023-02-13 06:45:00,13
2023-02-14,53.7,1.6,2023-02-14 08:00:00,66.71,0.92,2023-02-14 07:30:00,68.88,0.84,2023-02-14 06:30:00,13
2023-02-15,64.12,1.04,2023-02-15 07:00:00,68.33,0.86,2023-02-15 06:45:00,72.69,0.7,2023-02-15 06:15:00,13
2023-02-16,52.31,1.69,2023-02-16 07:45:00,63.08,1.08,2023-02-16 07:15:00,68.31,0.86,2023-02-16 07:00:00,13
2023-02-17,64.81,1.01,2023-02-17 13:30:00,77.16,0.55,2023-02-17 10:30:00,80.79,0.44,2023-02-17 11:30:00,13
