date_jour,cp1,Dp1,HEURE_POINTE_1H,cp2,Dp2,HEURE_POINTE_2H,cp3,Dp3,HEURE_POINTE_3H,LENGTH
2023-02-13,90.64,0.09,2023-02-13 08:30:00,94.22,0.05,2023-02-13 07:45:00,94.52,0.05,2023-02-13 06:45:00,115
2023-02-14,80.76,0.2,2023-02-14 17:15:00,89.54,0.1,2023-02-14 17:45:00,92.87,0.06,2023-02-14 17:45:00,115
2023-02-15,62.31,0.5,2023-02-15 09:15:00,77.07,0.24,2023-02-15 08:00:00,81.54,0.19,2023-02-15 07:30:00,115
2023-02-16,92.87,0.06,2023-02-16 06:15:00,93.5,0.06,2023-02-16 06:15:00,94.51,0.05,2023-02-16 06:15:00,115
2023-02-17,91.53,0.08,2023-02-17 19:15:00,95.52,0.04,2023-02-17 06:00:00,96.25,0.03,2023-02-17 06:30:00,115
2023-02-18,91.12,0.08,2023-02-18 05:30:00,95.32,0.04,2023-02-18 04:45:00,98.43,0.01,2023-02-18 04:15:00,115
2023-02-19,96.95,0.03,2023-02-19 02:30:00,102.28,-0.02,2023-02-19 04:30:00,103.51,-0.03,2023-02-19 02:45:00,115
2023-02-20,89.23,0.1,2023-02-20 18:30:00,92.54,0.07,2023-02-20 18:15:00,94.01,0.05,2023-02-20 18:15:00,115
2023-02-21,88.51,0.11,2023-02-21 07:30:00,91.74,0.07,2023-02-21 06:45:00,92.68,0.06,2023-02-21 06:45:00,115
2023-02-22,91.74,0.07,2023-02-22 02:30:00,95.1,0.04,2023-02-22 07:00:00,96.1,0.03,2023-02-22 13:00:00,115
2023-02-23,86.69,0.13,2023-02-23 03:45:00,90.47,0.09,2023-02-23 02:45:00,92.28,0.07,2023-02-23 02:30:00,115
2023-02-24,91.8,0.07,2023-02-24 13:30:00,94.67,0.05,2023-02-24 13:45:00,95.8,0.04,2023-02-24 06:00:00,115
2023-02-25,92.97,0.06,2023-02-25 06:30:00,95.22,0.04,2023-02-25 06:30:00,97.5,0.02,2023-02-25 06:30:00,115
2023-02-26,89.64,0.1,2023-02-26 07:30:00,95.13,0.04,2023-02-26 02:00:00,99.57,0.0,2023-02-26 02:00:00,115
2023-02-27,90.23,0.09,2023-02-27 08:30:00,93.02,0.06,2023-02-27 07:45:00,93.47,0.06,2023-02-27 07:00:00,115
2023-02-28,47.22,0.92,2023-02-28 08:15:00,68.62,0.38,2023-02-28 07:15:00,75.22,0.27,2023-02-28 06:30:00,115
2023-03-01,87.24,0.12,2023-03-01 18:00:00,92.25,0.07,2023-03-01 18:00:00,93.85,0.05,2023-03-01 00:15:00,115
2023-03-02,89.78,0.09,2023-03-02 00:30:00,92.99,0.06,2023-03-02 08:30:00,93.76,0.05,2023-03-02 07:30:00,115
2023-03-03,93.79,0.05,2023-03-03 07:00:00,95.87,0.04,2023-03-03 19:00:00,96.34,0.03,2023-03-03 17:00:00,115
2023-03-04,89.99,0.09,2023-03-04 19:45:00,95.73,0.04,2023-03-04 19:00:00,96.16,0.03,2023-03-04 01:15:00,115
2023-03-05,97.98,0.02,2023-03-05 08:00:00,98.68,0.01,2023-03-05 07:00:00,100.05,-0.0,2023-03-05 06:30:00,115
2023-03-06,82.1,0.18,2023-03-06 08:15:00,87.88,0.11,2023-03-06 08:15:00,90.68,0.08,2023-03-06 07:30:00,115
2023-03-07,86.18,0.13,2023-03-07 23:00:00,88.55,0.11,2023-03-07 22:00:00,91.83,0.07,2023-03-07 21:00:00,115
2023-03-08,37.07,1.4,2023-03-08 08:45:00,47.33,0.92,2023-03-08 08:30:00,60.72,0.53,2023-03-08 07:45:00,115
2023-03-09,74.86,0.28,2023-03-09 08:15:00,82.1,0.18,2023-03-09 08:15:00,85.55,0.14,2023-03-09 07:45:00,115
2023-03-10,88.51,0.11,2023-03-10 00:30:00,89.95,0.09,2023-03-10 06:15:00,91.21,0.08,2023-03-10 05:15:00,115
2023-03-11,90.64,0.09,2023-03-11 05:15:00,97.57,0.02,2023-03-11 05:15:00,100.73,-0.01,2023-03-11 04:45:00,115
2023-03-12,91.19,0.08,2023-03-12 23:00:00,92.18,0.07,2023-03-12 21:30:00,95.77,0.04,2023-03-12 21:00:00,115
2023-03-13,86.73,0.13,2023-03-13 03:45:00,90.98,0.08,2023-03-13 08:45:00,91.83,0.07,2023-03-13 07:15:00,115
2023-03-14,68.66,0.38,2023-03-14 15:45:00,82.01,0.18,2023-03-14 14:30:00,86.29,0.13,2023-03-14 13:45:00,115
2023-03-15,88.58,0.11,2023-03-15 19:15:00,92.11,0.07,2023-03-15 18:45:00,94.44,0.05,2023-03-15 18:30:00,115
2023-03-16,88.34,0.11,2023-03-16 18:45:00,93.55,0.06,2023-03-16 18:00:00,94.9,0.04,2023-03-16 16:45:00,115
2023-03-17,88.07,0.11,2023-03-17 20:00:00,88.39,0.11,2023-03-17 19:45:00,90.75,0.08,2023-03-17 19:30:00,115
2023-03-18,50.86,0.8,2023-03-18 04:15:00,70.71,0.34,2023-03-18 04:15:00,78.74,0.22,2023-03-18 04:15:00,115
2023-03-19,92.7,0.06,2023-03-19 04:00:00,96.23,0.03,2023-03-19 04:00:00,98.13,0.02,2023-03-19 03:00:00,115
2023-03-20,85.94,0.13,2023-03-20 19:30:00,90.21,0.09,2023-03-20 18:45:00,94.43,0.05,2023-03-20 19:00:00,115
2023-03-21,88.99,0.1,2023-03-21 04:00:00,91.5,0.08,2023-03-21 03:00:00,94.14,0.05,2023-03-21 06:15:00,115
2023-03-22,89.33,0.1,2023-03-22 10:00:00,90.43,0.09,2023-03-22 10:30:00,91.56,0.08,2023-03-22 09:30:00,115
2023-03-23,90.4,0.09,2023-03-23 19:15:00,93.57,0.06,2023-03-23 19:30:00,94.36,0.05,2023-03-23 19:30:00,115
2023-03-24,81.28,0.19,2023-03-24 18:30:00,84.83,0.15,2023-03-24 18:00:00,87.28,0.12,2023-03-24 17:00:00,115
2023-03-25,87.41,0.12,2023-03-25 02:30:00,95.3,0.04,2023-03-25 01:30:00,96.76,0.03,2023-03-25 00:45:00,115
2023-03-26,88.44,0.11,2023-03-26 05:00:00,94.22,0.05,2023-03-26 04:15:00,95.26,0.04,2023-03-26 03:15:00,115
2023-03-27,90.64,0.09,2023-03-27 02:00:00,96.28,0.03,2023-03-27 07:15:00,96.59,0.03,2023-03-27 06:15:00,115
2023-03-28,82.54,0.17,2023-03-28 04:30:00,89.66,0.09,2023-03-28 04:30:00,92.52,0.07,2023-03-28 04:00:00,115
2023-03-29,93.72,0.06,2023-03-29 08:30:00,94.27,0.05,2023-03-29 08:30:00,96.43,0.03,2023-03-29 08:00:00,115
2023-03-30,94.27,0.05,2023-03-30 09:30:00,96.3,0.03,2023-03-30 14:00:00,97.04,0.03,2023-03-30 09:15:00,115
2023-03-31,71.47,0.33,2023-03-31 19:00:00,85.19,0.14,2023-03-31 19:15:00,91.36,0.08,2023-03-31 19:00:00,115
2023-04-01,92.8,0.06,2023-04-01 22:00:00,97.27,0.02,2023-04-01 21:15:00,98.7,0.01,2023-04-01 05:30:00,115
2023-04-02,97.15,0.02,2023-04-02 22:00:00,101.7,-0.01,2023-04-02 22:00:00,103.8,-0.03,2023-04-02 01:30:00,115
